place,month,mon_num,season,mon_sun,avg_daily_sun
Washington,January,1,Winter,144.6,4.664516129
Washington,February,2,Winter,151.8,5.373451327
Washington,March,3,Winter,204,6.580645161
Washington,April,4,Spring,228.2,7.606666667
Washington,May,5,Spring,260.5,8.403225806
Washington,June,6,Spring,283.2,9.44
Washington,July,7,Summer,280.5,9.048387097
Washington,August,8,Summer,263.1,8.487096774
Washington,September,9,Summer,225,7.5
Washington,October,10,Fall,203.6,6.567741935
Washington,November,11,Fall,150.2,5.006666667
Washington,December,12,Fall,133,4.290322581
Kyoto,January,1,Winter,170.1,5.487096774
Kyoto,February,2,Winter,170,6.017699115
Kyoto,March,3,Winter,189.1,6.1
Kyoto,April,4,Spring,196.6,6.553333333
Kyoto,May,5,Spring,197.5,6.370967742
Kyoto,June,6,Spring,149.9,4.835483871
Kyoto,July,7,Summer,146.3,4.719354839
Kyoto,August,8,Summer,200.4,6.464516129
Kyoto,September,9,Summer,151,5.033333333
Kyoto,October,10,Fall,169,5.451612903
Kyoto,November,11,Fall,162.7,5.423333333
Kyoto,December,12,Fall,172.2,5.55483871
Liestal,January,1,Winter,48,1.548387097
Liestal,February,2,Winter,77,2.725663717
Liestal,March,3,Winter,125,4.032258065
Liestal,April,4,Spring,159,5.3
Liestal,May,5,Spring,186,6
Liestal,June,6,Spring,204,6.8
Liestal,July,7,Summer,230,7.419354839
Liestal,August,8,Summer,208,6.709677419
Liestal,September,9,Summer,151,5.033333333
Liestal,October,10,Fall,93,3
Liestal,November,11,Fall,50,1.666666667
Liestal,December,12,Fall,35,1.129032258
Vancouver,January,1,Winter,60.1,1.938709677
Vancouver,February,2,Winter,91,3.221238938
Vancouver,March,3,Winter,134.8,4.348387097
Vancouver,April,4,Spring,185,6.166666667
Vancouver,May,5,Spring,222.5,7.177419355
Vancouver,June,6,Spring,226.9,7.563333333
Vancouver,July,7,Summer,289.8,9.348387097
Vancouver,August,8,Summer,277.1,8.938709677
Vancouver,September,9,Summer,212.8,7.093333333
Vancouver,October,10,Fall,120.7,3.893548387
Vancouver,November,11,Fall,60.4,2.013333333
Vancouver,December,12,Fall,56.5,1.822580645
